"C17002_001E","C17002_001M","C17002_002E","C17002_002M","C17002_003E","C17002_003M","C17002_004E","C17002_004M","C17002_005E","C17002_005M","C17002_006E","C17002_006M","C17002_007E","C17002_007M","C17002_008E","C17002_008M","GEO_ID","NAME"
"1419","279","69","74","34","33","31","34","0","12","37","25","14","21","1234","292","1500000US490351030002","Block Group 2, Census Tract 1030, Salt Lake County, Utah"
"1412","251","11","18","62","67","34","42","0","12","74","53","36","41","1195","251","1500000US490351031001","Block Group 1, Census Tract 1031, Salt Lake County, Utah"
"1466","298","201","239","28","27","37","36","28","33","61","44","10","16","1101","320","1500000US490351031002","Block Group 2, Census Tract 1031, Salt Lake County, Utah"
"1451","654","32","40","45","36","129","87","49","57","50","55","42","54","1104","638","1500000US490351031003","Block Group 3, Census Tract 1031, Salt Lake County, Utah"
"1163","314","0","12","260","313","0","12","20","33","4","64","19","30","860","246","1500000US490351032001","Block Group 1, Census Tract 1032, Salt Lake County, Utah"
"1630","606","65","62","57","56","71","83","89","141","73","68","0","12","1275","547","1500000US490351032002","Block Group 2, Census Tract 1032, Salt Lake County, Utah"
"1516","389","36","49","378","139","105","96","46","54","202","314","0","12","749","268","1500000US490351032003","Block Group 3, Census Tract 1032, Salt Lake County, Utah"
"1232","324","255","172","179","131","11","18","29","43","104","107","0","12","654","252","1500000US490351033001","Block Group 1, Census Tract 1033, Salt Lake County, Utah"
"1339","347","125","120","97","88","37","60","0","12","99","89","84","133","897","243","1500000US490351033002","Block Group 2, Census Tract 1033, Salt Lake County, Utah"
"1723","512","75","95","21","34","134","169","40","61","0","12","239","186","1214","510","1500000US490351033003","Block Group 3, Census Tract 1033, Salt Lake County, Utah"
"1394","269","71","41","117","87","43","48","29","32","160","175","7","12","967","220","1500000US490351034001","Block Group 1, Census Tract 1034, Salt Lake County, Utah"
"1718","427","257","259","28","22","21","16","72","94","5","9","33","54","1302","303","1500000US490351034002","Block Group 2, Census Tract 1034, Salt Lake County, Utah"
"1322","289","118","94","53","36","53","70","32","49","59","42","0","12","1007","241","1500000US490351034003","Block Group 3, Census Tract 1034, Salt Lake County, Utah"
"1020","256","69","58","24","26","0","12","0","12","13","20","11","19","903","250","1500000US490351035001","Block Group 1, Census Tract 1035, Salt Lake County, Utah"
"1349","257","42","47","47","36","19","25","13","19","24","38","21","26","1183","256","1500000US490351035002","Block Group 2, Census Tract 1035, Salt Lake County, Utah"
"1465","264","60","48","57","47","87","109","46","58","61","63","0","12","1154","204","1500000US490351035003","Block Group 3, Census Tract 1035, Salt Lake County, Utah"
"1336","258","56","46","34","30","7","11","33","49","68","68","0","12","1138","252","1500000US490351036001","Block Group 1, Census Tract 1036, Salt Lake County, Utah"
"1552","402","22","24","20","25","0","12","0","12","69","67","0","12","1441","403","1500000US490351036002","Block Group 2, Census Tract 1036, Salt Lake County, Utah"
"1487","548","10","16","16","24","23","37","236","364","9","15","22","37","1171","410","1500000US490351037001","Block Group 1, Census Tract 1037, Salt Lake County, Utah"
"1227","209","21","32","0","12","47","49","0","12","42","46","0","12","1117","201","1500000US490351037002","Block Group 2, Census Tract 1037, Salt Lake County, Utah"
"1301","238","33","41","8","14","14","27","0","12","122","172","11","18","1113","215","1500000US490351038001","Block Group 1, Census Tract 1038, Salt Lake County, Utah"
"1124","228","61","72","12","18","54","55","0","12","12","21","0","12","985","214","1500000US490351038002","Block Group 2, Census Tract 1038, Salt Lake County, Utah"
"1377","295","21","23","74","53","17","27","51","81","8","11","36","29","1170","256","1500000US490351039001","Block Group 1, Census Tract 1039, Salt Lake County, Utah"
"1450","328","57","60","31","47","114","158","9","14","162","110","8","13","1069","316","1500000US490351039002","Block Group 2, Census Tract 1039, Salt Lake County, Utah"
"1357","246","30","44","76","59","9","14","0","12","36","36","0","12","1206","237","1500000US490351039003","Block Group 3, Census Tract 1039, Salt Lake County, Utah"
"1273","285","91","90","9","16","2","3","2","3","215","221","23","23","931","258","1500000US490351040001","Block Group 1, Census Tract 1040, Salt Lake County, Utah"
"1470","864","16","18","22","32","0","12","0","12","5","8","84","102","1343","862","1500000US490351040002","Block Group 2, Census Tract 1040, Salt Lake County, Utah"
"760","238","0","12","0","12","0","12","0","12","19","26","0","12","741","242","1500000US490351040003","Block Group 3, Census Tract 1040, Salt Lake County, Utah"
"1668","298","420","250","39","68","29","32","38","61","13","20","13","20","1116","269","1500000US490351041001","Block Group 1, Census Tract 1041, Salt Lake County, Utah"
"1319","250","7","10","47","74","0","12","0","12","0","12","0","12","1265","229","1500000US490351041002","Block Group 2, Census Tract 1041, Salt Lake County, Utah"
"1929","384","15","25","0","12","0","12","0","12","0","12","15","25","1899","380","1500000US490351042001","Block Group 1, Census Tract 1042, Salt Lake County, Utah"
"787","398","0","12","0","12","0","12","0","12","0","12","0","12","787","398","1500000US490351042002","Block Group 2, Census Tract 1042, Salt Lake County, Utah"
"739","222","0","12","0","12","0","12","0","12","0","12","0","12","739","222","1500000US490351042003","Block Group 3, Census Tract 1042, Salt Lake County, Utah"
"1341","375","17","27","116","140","0","12","0","12","39","62","0","12","1169","371","1500000US490351042004","Block Group 4, Census Tract 1042, Salt Lake County, Utah"
"782","238","0","12","0","12","0","12","0","12","0","12","0","12","782","238","1500000US490351042005","Block Group 5, Census Tract 1042, Salt Lake County, Utah"
"1185","460","20","32","0","12","0","12","199","298","0","12","0","12","966","397","1500000US490351042006","Block Group 6, Census Tract 1042, Salt Lake County, Utah"
"1134","245","54","39","29","25","29","32","8","11","105","101","39","57","870","211","1500000US490351043001","Block Group 1, Census Tract 1043, Salt Lake County, Utah"
"1729","466","114","73","177","216","14","21","0","12","54","40","0","12","1370","299","1500000US490351043002","Block Group 2, Census Tract 1043, Salt Lake County, Utah"
"1269","273","36","37","45","50","43","56","20","28","3","6","17","18","1105","260","1500000US490351044001","Block Group 1, Census Tract 1044, Salt Lake County, Utah"
"732","166","7","10","0","12","0","12","0","12","15","20","0","12","710","169","1500000US490351044002","Block Group 2, Census Tract 1044, Salt Lake County, Utah"
"2062","530","96","93","131","115","0","12","84","104","44","69","66","70","1641","619","1500000US490351047001","Block Group 1, Census Tract 1047, Salt Lake County, Utah"
"1958","347","0","12","54","45","92","92","62","76","91","104","0","12","1659","339","1500000US490351047002","Block Group 2, Census Tract 1047, Salt Lake County, Utah"
"1319","312","51","66","107","87","18","29","0","12","0","12","0","12","1143","312","1500000US490351047003","Block Group 3, Census Tract 1047, Salt Lake County, Utah"
"1174","478","210","242","74","92","0","12","0","12","0","12","0","12","890","355","1500000US490351048001","Block Group 1, Census Tract 1048, Salt Lake County, Utah"
"2234","549","53","63","19","30","17","27","148","202","63","74","68","82","1866","532","1500000US490351048002","Block Group 2, Census Tract 1048, Salt Lake County, Utah"
"831","255","65","71","17","27","0","12","79","87","17","27","0","12","653","268","1500000US490351048003","Block Group 3, Census Tract 1048, Salt Lake County, Utah"
"1247","320","0","12","27","31","0","12","0","12","241","160","0","12","979","311","1500000US490351048004","Block Group 4, Census Tract 1048, Salt Lake County, Utah"
"1068","524","38","35","80","60","0","12","8","13","27","29","67","72","848","515","1500000US490351049001","Block Group 1, Census Tract 1049, Salt Lake County, Utah"
"1153","222","46","52","36","39","65","50","167","175","49","45","28","45","762","212","1500000US490351049002","Block Group 2, Census Tract 1049, Salt Lake County, Utah"
"868","200","24","27","153","148","0","12","108","145","23","53","0","12","560","154","1500000US490351049003","Block Group 3, Census Tract 1049, Salt Lake County, Utah"
"1598","279","105","93","5","10","0","12","4","6","132","151","23","31","1329","262","1500000US490351101031","Block Group 1, Census Tract 1101.03, Salt Lake County, Utah"
"962","161","0","12","0","12","0","12","0","12","9","14","9","13","944","162","1500000US490351101032","Block Group 2, Census Tract 1101.03, Salt Lake County, Utah"
"742","176","0","12","0","12","0","12","8","12","8","13","9","15","717","176","1500000US490351101033","Block Group 3, Census Tract 1101.03, Salt Lake County, Utah"
"2001","432","78","52","0","12","27","41","26","52","201","317","9","13","1660","346","1500000US490351101041","Block Group 1, Census Tract 1101.04, Salt Lake County, Utah"
"1679","587","48","50","0","12","0","12","0","12","1","3","318","388","1312","490","1500000US490351101042","Block Group 2, Census Tract 1101.04, Salt Lake County, Utah"
"1174","269","42","46","25","38","30","39","10","16","0","12","0","12","1067","269","1500000US490351101043","Block Group 3, Census Tract 1101.04, Salt Lake County, Utah"
"989","256","39","38","8","12","0","12","0","12","0","12","0","12","942","256","1500000US490351101044","Block Group 4, Census Tract 1101.04, Salt Lake County, Utah"
"1085","362","12","18","0","12","0","12","8","12","9","14","0","12","1056","362","1500000US490351101051","Block Group 1, Census Tract 1101.05, Salt Lake County, Utah"
"924","188","64","71","0","12","16","17","27","35","16","20","5","9","796","182","1500000US490351101052","Block Group 2, Census Tract 1101.05, Salt Lake County, Utah"
"1151","283","116","86","50","70","6","7","84","125","104","154","0","12","791","189","1500000US490351101061","Block Group 1, Census Tract 1101.06, Salt Lake County, Utah"
"619","189","0","12","0","12","16","36","0","12","45","48","0","12","558","187","1500000US490351101062","Block Group 2, Census Tract 1101.06, Salt Lake County, Utah"
"423","152","0","12","16","24","0","12","0","12","0","12","0","12","407","150","1500000US490351101063","Block Group 3, Census Tract 1101.06, Salt Lake County, Utah"
"1346","351","18","20","20","32","0","12","30","44","55","47","0","12","1223","359","1500000US490351102001","Block Group 1, Census Tract 1102, Salt Lake County, Utah"
"1106","276","20","31","56","43","45","52","22","35","65","74","21","33","877","285","1500000US490351102002","Block Group 2, Census Tract 1102, Salt Lake County, Utah"
"626","215","0","12","16","25","111","167","14","22","0","12","23","34","462","156","1500000US490351102003","Block Group 3, Census Tract 1102, Salt Lake County, Utah"
"1385","284","13","16","0","12","6","10","0","12","26","31","0","12","1340","279","1500000US490351102004","Block Group 4, Census Tract 1102, Salt Lake County, Utah"
"782","177","42","28","3","6","17","25","3","6","18","23","53","57","646","172","1500000US490351102005","Block Group 5, Census Tract 1102, Salt Lake County, Utah"
"997","359","8","13","43","65","0","12","113","190","0","12","0","12","833","329","1500000US490351103001","Block Group 1, Census Tract 1103, Salt Lake County, Utah"
"913","282","2","3","7","9","14","22","0","12","1","2","150","156","739","274","1500000US490351103002","Block Group 2, Census Tract 1103, Salt Lake County, Utah"
"1243","416","11","18","0","12","0","12","0","12","0","12","67","83","1165","413","1500000US490351103003","Block Group 3, Census Tract 1103, Salt Lake County, Utah"
"819","274","0","12","0","12","0","12","0","12","0","12","0","12","819","274","1500000US490351103004","Block Group 4, Census Tract 1103, Salt Lake County, Utah"
"1003","365","0","12","31","51","0","12","56","95","0","12","33","55","883","322","1500000US490351103005","Block Group 5, Census Tract 1103, Salt Lake County, Utah"
"1108","318","13","21","20","32","88","105","0","12","0","12","14","22","973","331","1500000US490351103006","Block Group 6, Census Tract 1103, Salt Lake County, Utah"
"1161","257","7","14","21","27","61","97","0","12","32","37","51","57","989","233","1500000US490351104011","Block Group 1, Census Tract 1104.01, Salt Lake County, Utah"
"420","214","0","12","137","149","0","12","0","12","76","59","0","12","207","143","1500000US490351104012","Block Group 2, Census Tract 1104.01, Salt Lake County, Utah"
"1253","246","46","54","34","44","44","36","90","89","41","42","19","32","979","236","1500000US490351104013","Block Group 3, Census Tract 1104.01, Salt Lake County, Utah"
"1448","343","22","26","12","18","22","37","0","12","27","35","40","61","1325","352","1500000US490351104021","Block Group 1, Census Tract 1104.02, Salt Lake County, Utah"
"1689","866","55","55","20","21","64","77","78","66","37","61","0","12","1435","867","1500000US490351104022","Block Group 2, Census Tract 1104.02, Salt Lake County, Utah"
"1002","264","20","23","49","73","0","12","0","12","8","13","0","12","925","276","1500000US490351104023","Block Group 3, Census Tract 1104.02, Salt Lake County, Utah"
"1667","455","26","44","0","12","12","20","11","20","41","56","120","164","1457","515","1500000US490351105001","Block Group 1, Census Tract 1105, Salt Lake County, Utah"
"2281","646","0","12","0","12","35","59","12","20","40","68","0","12","2194","643","1500000US490351105002","Block Group 2, Census Tract 1105, Salt Lake County, Utah"
"1240","489","0","12","0","12","0","12","334","366","36","43","0","12","870","448","1500000US490351105003","Block Group 3, Census Tract 1105, Salt Lake County, Utah"
"917","336","66","89","13","20","25","41","0","12","0","12","0","12","813","321","1500000US490351105004","Block Group 4, Census Tract 1105, Salt Lake County, Utah"
"1172","348","74","114","102","87","39","64","0","12","20","24","0","12","937","338","1500000US490351106001","Block Group 1, Census Tract 1106, Salt Lake County, Utah"
"1253","256","0","12","10","16","9","14","0","12","90","75","0","12","1144","241","1500000US490351106002","Block Group 2, Census Tract 1106, Salt Lake County, Utah"
"1582","435","24","40","0","12","0","12","0","12","39","62","61","98","1458","443","1500000US490351106003","Block Group 3, Census Tract 1106, Salt Lake County, Utah"
"764","275","0","12","4","7","0","12","0","12","54","88","150","199","556","214","1500000US490351106004","Block Group 4, Census Tract 1106, Salt Lake County, Utah"
"923","262","106","158","0","12","0","12","29","43","29","44","12","20","747","256","1500000US490351106005","Block Group 5, Census Tract 1106, Salt Lake County, Utah"
"1292","300","173","131","51","60","60","94","6","9","107","123","9","15","886","226","1500000US490351107011","Block Group 1, Census Tract 1107.01, Salt Lake County, Utah"
"2521","420","159","125","207","140","43","41","119","107","207","177","85","62","1701","399","1500000US490351107012","Block Group 2, Census Tract 1107.01, Salt Lake County, Utah"
"1305","483","0","12","9","14","39","61","16","26","0","12","0","12","1241","480","1500000US490351107021","Block Group 1, Census Tract 1107.02, Salt Lake County, Utah"
"1246","325","0","12","21","27","124","181","0","12","10","16","66","101","1025","220","1500000US490351107022","Block Group 2, Census Tract 1107.02, Salt Lake County, Utah"
"1538","377","22","35","0","12","17","26","11","17","0","12","18","28","1470","383","1500000US490351107023","Block Group 3, Census Tract 1107.02, Salt Lake County, Utah"
"1200","265","27","45","20","31","138","165","76","83","72","82","37","57","830","238","1500000US490351107024","Block Group 4, Census Tract 1107.02, Salt Lake County, Utah"
"853","310","29","35","0","12","149","219","15","24","48","61","0","12","612","246","1500000US490351108001","Block Group 1, Census Tract 1108, Salt Lake County, Utah"
"1885","604","32","27","0","12","14","23","34","57","63","79","0","12","1742","601","1500000US490351108002","Block Group 2, Census Tract 1108, Salt Lake County, Utah"
"1160","339","0","12","14","23","32","51","0","12","0","12","0","12","1114","347","1500000US490351108003","Block Group 3, Census Tract 1108, Salt Lake County, Utah"
"1762","531","41","64","159","249","19","30","26","39","65","121","109","124","1343","466","1500000US490351108004","Block Group 4, Census Tract 1108, Salt Lake County, Utah"
"766","157","0","12","36","45","16","26","0","12","20","32","0","12","694","150","1500000US490351109001","Block Group 1, Census Tract 1109, Salt Lake County, Utah"
"1528","338","33","40","35","48","31","35","16","26","56","59","0","12","1357","316","1500000US490351109002","Block Group 2, Census Tract 1109, Salt Lake County, Utah"
"853","362","0","12","7","12","0","12","6","11","0","12","0","12","840","367","1500000US490351109003","Block Group 3, Census Tract 1109, Salt Lake County, Utah"
"823","236","35","55","0","12","0","12","0","12","66","77","23","35","699","235","1500000US490351109004","Block Group 4, Census Tract 1109, Salt Lake County, Utah"
"1108","243","0","12","0","12","15","25","0","12","0","12","0","12","1093","244","1500000US490351110011","Block Group 1, Census Tract 1110.01, Salt Lake County, Utah"
"1846","337","241","200","92","56","152","163","23","38","23","28","0","12","1315","296","1500000US490351110012","Block Group 2, Census Tract 1110.01, Salt Lake County, Utah"
"1219","491","80","123","41","50","0","12","96","110","47","73","114","149","841","209","1500000US490351110013","Block Group 3, Census Tract 1110.01, Salt Lake County, Utah"
"1992","494","11","18","17","26","38","42","41","53","38","44","45","59","1802","495","1500000US490351110021","Block Group 1, Census Tract 1110.02, Salt Lake County, Utah"
"2052","513","28","31","17","27","0","12","31","35","181","174","120","144","1675","502","1500000US490351110022","Block Group 2, Census Tract 1110.02, Salt Lake County, Utah"
"1510","462","0","12","0","12","0","12","0","12","0","12","0","12","1510","462","1500000US490351110023","Block Group 3, Census Tract 1110.02, Salt Lake County, Utah"
"898","327","17","27","16","16","51","72","0","12","65","80","16","26","733","302","1500000US490351111041","Block Group 1, Census Tract 1111.04, Salt Lake County, Utah"
"1633","380","0","12","0","12","29","31","0","12","32","61","18","27","1554","386","1500000US490351111042","Block Group 2, Census Tract 1111.04, Salt Lake County, Utah"
"941","255","47","73","20","34","32","42","116","101","19","31","0","12","707","261","1500000US490351111051","Block Group 1, Census Tract 1111.05, Salt Lake County, Utah"
"1083","421","11","21","105","147","0","12","51","69","226","272","0","12","690","274","1500000US490351111052","Block Group 2, Census Tract 1111.05, Salt Lake County, Utah"
"1460","460","38","63","52","63","500","439","63","98","101","122","0","12","706","216","1500000US490351111053","Block Group 3, Census Tract 1111.05, Salt Lake County, Utah"
"1855","401","56","55","15","25","69","68","149","162","280","246","76","58","1210","382","1500000US490351111061","Block Group 1, Census Tract 1111.06, Salt Lake County, Utah"
"1440","820","2","3","12","24","0","12","16","24","75","117","0","12","1335","827","1500000US490351111062","Block Group 2, Census Tract 1111.06, Salt Lake County, Utah"
"840","357","28","47","53","65","48","63","56","73","0","12","14","23","641","283","1500000US490351111071","Block Group 1, Census Tract 1111.07, Salt Lake County, Utah"
"2115","517","67","88","80","137","0","12","37","43","42","68","0","12","1889","545","1500000US490351111072","Block Group 2, Census Tract 1111.07, Salt Lake County, Utah"
"1608","364","115","143","152","147","14","25","0","12","26","39","0","12","1301","322","1500000US490351111081","Block Group 1, Census Tract 1111.08, Salt Lake County, Utah"
"865","251","44","48","21","32","0","12","0","12","0","12","0","12","800","253","1500000US490351111082","Block Group 2, Census Tract 1111.08, Salt Lake County, Utah"
"1421","340","99","92","12","35","26","44","34","54","136","168","20","37","1094","302","1500000US490351111091","Block Group 1, Census Tract 1111.09, Salt Lake County, Utah"
"1382","384","62","47","64","75","124","147","0","12","21","34","0","12","1111","397","1500000US490351111092","Block Group 2, Census Tract 1111.09, Salt Lake County, Utah"
"1351","398","51","60","84","106","11","16","54","55","137","116","0","12","1014","378","1500000US490351112011","Block Group 1, Census Tract 1112.01, Salt Lake County, Utah"
"1517","307","63","80","126","167","67","75","63","55","22","33","0","12","1176","276","1500000US490351112012","Block Group 2, Census Tract 1112.01, Salt Lake County, Utah"
"758","386","0","12","85","114","10","17","0","12","16","20","17","29","630","288","1500000US490351112021","Block Group 1, Census Tract 1112.02, Salt Lake County, Utah"
"1294","310","10","16","0","12","0","12","177","244","48","55","53","82","1006","236","1500000US490351112022","Block Group 2, Census Tract 1112.02, Salt Lake County, Utah"
"832","185","46","54","18","20","11","17","44","42","36","39","0","12","677","191","1500000US490351112023","Block Group 3, Census Tract 1112.02, Salt Lake County, Utah"
"1324","338","84","68","157","187","0","12","78","106","19","31","0","12","986","312","1500000US490351112024","Block Group 4, Census Tract 1112.02, Salt Lake County, Utah"
"1468","372","0","12","79","75","20","30","24","36","0","12","0","12","1345","348","1500000US490351113021","Block Group 1, Census Tract 1113.02, Salt Lake County, Utah"
"1881","453","29","34","21","23","0","12","32","38","260","218","16","33","1523","476","1500000US490351113022","Block Group 2, Census Tract 1113.02, Salt Lake County, Utah"
"1618","608","8","14","11","17","14","22","0","12","75","110","0","12","1510","628","1500000US490351113023","Block Group 3, Census Tract 1113.02, Salt Lake County, Utah"
"1285","447","240","255","0","12","0","12","0","12","0","12","0","12","1045","355","1500000US490351113024","Block Group 4, Census Tract 1113.02, Salt Lake County, Utah"
"1224","335","135","208","0","12","50","69","0","12","27","32","9","14","1003","272","1500000US490351113041","Block Group 1, Census Tract 1113.04, Salt Lake County, Utah"
"1921","371","28","32","57","64","20","23","56","90","362","361","8","13","1390","268","1500000US490351113042","Block Group 2, Census Tract 1113.04, Salt Lake County, Utah"
"2377","452","9","12","271","369","23","37","0","12","171","115","115","106","1788","364","1500000US490351113051","Block Group 1, Census Tract 1113.05, Salt Lake County, Utah"
"2061","333","31","47","17","19","33","38","77","72","0","12","0","12","1903","350","1500000US490351113052","Block Group 2, Census Tract 1113.05, Salt Lake County, Utah"
"1622","238","0","12","29","38","10","17","55","39","89","86","17","30","1422","247","1500000US490351113061","Block Group 1, Census Tract 1113.06, Salt Lake County, Utah"
"639","169","0","12","0","12","0","12","25","39","17","27","0","12","597","160","1500000US490351113062","Block Group 2, Census Tract 1113.06, Salt Lake County, Utah"
"1272","432","59","72","90","111","4","10","38","43","56","50","73","124","952","422","1500000US490351114001","Block Group 1, Census Tract 1114, Salt Lake County, Utah"
"842","438","19","31","49","78","30","33","0","12","77","92","0","12","667","430","1500000US490351114002","Block Group 2, Census Tract 1114, Salt Lake County, Utah"
"1831","549","284","336","75","74","0","12","0","12","207","275","18","30","1247","298","1500000US490351114003","Block Group 3, Census Tract 1114, Salt Lake County, Utah"
"1228","414","50","43","280","274","15","24","5","15","231","274","0","12","647","287","1500000US490351114004","Block Group 4, Census Tract 1114, Salt Lake County, Utah"
"680","537","35","55","326","466","10","15","0","12","8","14","0","12","301","168","1500000US490351114005","Block Group 5, Census Tract 1114, Salt Lake County, Utah"
"797","389","0","12","61","73","312","351","59","85","23","38","9","15","333","140","1500000US490351114006","Block Group 6, Census Tract 1114, Salt Lake County, Utah"
"1867","249","79","55","222","115","115","127","104","88","313","198","200","158","834","195","1500000US490351115001","Block Group 1, Census Tract 1115, Salt Lake County, Utah"
"1211","409","60","90","0","12","15","25","0","12","145","162","0","12","991","409","1500000US490351116011","Block Group 1, Census Tract 1116.01, Salt Lake County, Utah"
"1523","513","307","172","155","203","0","12","290","432","203","175","64","75","504","213","1500000US490351116012","Block Group 2, Census Tract 1116.01, Salt Lake County, Utah"
"1018","267","243","230","193","107","31","41","0","12","68","65","20","29","463","177","1500000US490351116021","Block Group 1, Census Tract 1116.02, Salt Lake County, Utah"
"2191","725","74","61","27","31","1","2","431","604","314","290","19","32","1325","445","1500000US490351116022","Block Group 2, Census Tract 1116.02, Salt Lake County, Utah"
"585","330","44","72","0","12","270","367","85","129","38","60","0","12","148","169","1500000US490351116023","Block Group 3, Census Tract 1116.02, Salt Lake County, Utah"
"957","455","0","12","86","70","312","415","0","12","56","68","0","12","503","242","1500000US490351117011","Block Group 1, Census Tract 1117.01, Salt Lake County, Utah"
"2750","790","368","411","350","232","352","457","46","78","92","109","107","142","1435","667","1500000US490351117012","Block Group 2, Census Tract 1117.01, Salt Lake County, Utah"
"2135","609","262","332","541","561","225","345","326","359","102","80","117","154","562","309","1500000US490351117013","Block Group 3, Census Tract 1117.01, Salt Lake County, Utah"
"1348","409","99","81","0","12","0","12","0","12","322","269","20","35","907","309","1500000US490351117021","Block Group 1, Census Tract 1117.02, Salt Lake County, Utah"
"1110","668","120","168","40","33","30","37","12","18","466","640","16","27","426","188","1500000US490351117022","Block Group 2, Census Tract 1117.02, Salt Lake County, Utah"
"1351","520","67","70","7","10","0","12","103","129","35","54","37","49","1102","496","1500000US490351117023","Block Group 3, Census Tract 1117.02, Salt Lake County, Utah"
"1191","351","103","146","32","50","0","12","17","22","88","82","218","196","733","334","1500000US490351117024","Block Group 4, Census Tract 1117.02, Salt Lake County, Utah"
"2249","525","81","117","33","53","43","52","63","107","201","236","17","27","1811","558","1500000US490351118011","Block Group 1, Census Tract 1118.01, Salt Lake County, Utah"
"1792","498","84","87","322","334","16","25","89","126","300","322","150","223","831","339","1500000US490351118012","Block Group 2, Census Tract 1118.01, Salt Lake County, Utah"
"591","222","74","145","118","181","0","12","57","69","31","35","46","77","265","141","1500000US490351118013","Block Group 3, Census Tract 1118.01, Salt Lake County, Utah"
"807","245","42","57","15","26","47","55","38","44","11","18","60","69","594","238","1500000US490351118014","Block Group 4, Census Tract 1118.01, Salt Lake County, Utah"
"1306","304","61","96","118","76","0","12","86","129","74","82","0","12","967","267","1500000US490351118021","Block Group 1, Census Tract 1118.02, Salt Lake County, Utah"
"1417","365","68","62","206","223","16","24","33","28","131","136","81","83","882","277","1500000US490351118022","Block Group 2, Census Tract 1118.02, Salt Lake County, Utah"
"1091","200","46","40","87","64","46","52","17","28","51","40","0","12","844","205","1500000US490351119031","Block Group 1, Census Tract 1119.03, Salt Lake County, Utah"
"1301","483","24","32","66","98","25","37","0","12","63","68","21","34","1102","470","1500000US490351119032","Block Group 2, Census Tract 1119.03, Salt Lake County, Utah"
"1366","240","24","22","42","42","110","166","56","63","148","140","6","10","980","250","1500000US490351119033","Block Group 3, Census Tract 1119.03, Salt Lake County, Utah"
"815","279","79","74","27","33","22","26","0","12","0","12","31","34","656","260","1500000US490351119041","Block Group 1, Census Tract 1119.04, Salt Lake County, Utah"
"1189","243","12","18","101","110","32","51","61","62","21","25","63","46","899","204","1500000US490351119042","Block Group 2, Census Tract 1119.04, Salt Lake County, Utah"
"951","258","126","115","68","97","19","20","20","23","121","100","0","12","597","240","1500000US490351119043","Block Group 3, Census Tract 1119.04, Salt Lake County, Utah"
"2064","500","52","47","297","244","61","71","141","134","107","123","15","26","1391","503","1500000US490351119051","Block Group 1, Census Tract 1119.05, Salt Lake County, Utah"
"864","299","42","31","11","13","89","90","222","248","74","100","33","28","393","147","1500000US490351119052","Block Group 2, Census Tract 1119.05, Salt Lake County, Utah"
"980","442","298","442","65","75","97","117","39","64","51","82","6","10","424","143","1500000US490351119053","Block Group 3, Census Tract 1119.05, Salt Lake County, Utah"
"2935","602","181","148","161","151","15","25","64","65","148","129","636","421","1730","500","1500000US490351119061","Block Group 1, Census Tract 1119.06, Salt Lake County, Utah"
"1705","419","148","112","203","157","49","41","132","198","128","101","140","185","905","256","1500000US490351119062","Block Group 2, Census Tract 1119.06, Salt Lake County, Utah"
"1340","274","72","113","48","42","35","54","9","15","46","71","0","12","1130","256","1500000US490351120011","Block Group 1, Census Tract 1120.01, Salt Lake County, Utah"
"1102","269","38","26","19","30","119","141","199","191","16","18","6","10","705","181","1500000US490351120012","Block Group 2, Census Tract 1120.01, Salt Lake County, Utah"
"640","210","20","31","47","53","55","66","20","21","88","89","25","30","385","162","1500000US490351120013","Block Group 3, Census Tract 1120.01, Salt Lake County, Utah"
"1907","625","0","12","0","12","30","43","0","12","346","418","98","157","1433","464","1500000US490351120021","Block Group 1, Census Tract 1120.02, Salt Lake County, Utah"
"823","386","29","35","43","46","0","12","0","12","0","12","48","55","703","382","1500000US490351120022","Block Group 2, Census Tract 1120.02, Salt Lake County, Utah"
"1247","379","0","12","11","18","29","34","51","83","83","80","0","12","1073","337","1500000US490351120023","Block Group 3, Census Tract 1120.02, Salt Lake County, Utah"
"921","317","112","135","0","12","61","74","75","82","113","155","0","12","560","285","1500000US490351120024","Block Group 4, Census Tract 1120.02, Salt Lake County, Utah"
"273","123","0","12","28","32","0","12","0","12","73","84","0","12","172","108","1500000US490351121011","Block Group 1, Census Tract 1121.01, Salt Lake County, Utah"
"749","522","36","41","65","90","48","76","0","12","40","65","0","12","560","464","1500000US490351121012","Block Group 2, Census Tract 1121.01, Salt Lake County, Utah"
"2234","632","107","119","118","100","46","53","291","303","373","364","12","20","1287","575","1500000US490351121013","Block Group 3, Census Tract 1121.01, Salt Lake County, Utah"
"584","350","0","12","0","12","206","299","0","12","58","71","0","12","320","202","1500000US490351121014","Block Group 4, Census Tract 1121.01, Salt Lake County, Utah"
"1046","284","13","18","7","13","0","12","0","12","0","12","0","12","1026","276","1500000US490351121021","Block Group 1, Census Tract 1121.02, Salt Lake County, Utah"
"1386","459","80","80","79","83","175","256","35","59","163","165","73","119","781","258","1500000US490351121022","Block Group 2, Census Tract 1121.02, Salt Lake County, Utah"
"957","336","81","118","79","76","26","42","0","12","221","246","0","12","550","253","1500000US490351121023","Block Group 3, Census Tract 1121.02, Salt Lake County, Utah"
"1363","394","12","20","6","6","0","12","0","12","0","12","15","26","1330","399","1500000US490351121024","Block Group 4, Census Tract 1121.02, Salt Lake County, Utah"
"2248","768","24","30","9","16","524","751","57","80","113","121","36","69","1485","287","1500000US490351122011","Block Group 1, Census Tract 1122.01, Salt Lake County, Utah"
