"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"1469","306","887","232","646","222","47","51","0","12","79","75","66","92","13","25","36","59","0","12","36","59","582","306","402","297","41","88","0","12","0","12","0","12","40","61","99","125","67","108","32","51","1500000US490351025012","Block Group 2, Census Tract 1025.01, Salt Lake County, Utah"
"826","325","700","237","513","208","0","12","0","12","187","146","0","12","0","12","0","12","0","12","0","12","126","122","42","53","0","12","0","12","0","12","0","12","0","12","84","111","84","111","0","12","1500000US490351025021","Block Group 1, Census Tract 1025.02, Salt Lake County, Utah"
"426","125","351","97","351","97","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","75","87","75","87","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351025022","Block Group 2, Census Tract 1025.02, Salt Lake County, Utah"
"731","419","260","167","256","166","0","12","4","8","0","12","0","12","0","12","0","12","0","12","0","12","471","418","281","322","0","12","0","12","0","12","0","12","190","246","0","12","0","12","0","12","1500000US490351026001","Block Group 1, Census Tract 1026, Salt Lake County, Utah"
"1239","556","607","245","575","239","5","5","0","12","27","44","0","12","0","12","0","12","0","12","0","12","632","543","91","92","0","12","0","12","0","12","0","12","541","539","0","12","0","12","0","12","1500000US490351026002","Block Group 2, Census Tract 1026, Salt Lake County, Utah"
"2548","667","1827","633","1136","545","0","12","63","94","145","116","260","249","24","37","199","168","0","12","199","168","721","232","369","211","33","49","0","12","0","12","0","12","309","192","10","16","10","16","0","12","1500000US490351026003","Block Group 3, Census Tract 1026, Salt Lake County, Utah"
"1740","730","507","189","498","188","0","12","0","12","9","14","0","12","0","12","0","12","0","12","0","12","1233","737","656","744","0","12","0","12","0","12","0","12","474","312","103","131","103","131","0","12","1500000US490351027011","Block Group 1, Census Tract 1027.01, Salt Lake County, Utah"
"2115","554","856","379","482","196","10","17","30","46","37","47","188","303","0","12","109","153","0","12","109","153","1259","502","536","431","0","12","0","12","0","12","0","12","718","328","5","9","5","9","0","12","1500000US490351027012","Block Group 2, Census Tract 1027.01, Salt Lake County, Utah"
"2401","867","1756","784","1037","709","84","94","0","12","0","12","476","139","146","195","13","20","0","12","13","20","645","348","257","210","0","12","17","21","0","12","0","12","364","273","7","12","0","12","7","12","1500000US490351027013","Block Group 3, Census Tract 1027.01, Salt Lake County, Utah"
"1262","344","480","195","368","187","0","12","52","83","48","66","0","12","0","12","12","20","0","12","12","20","782","318","28","29","0","12","0","12","0","12","0","12","754","320","0","12","0","12","0","12","1500000US490351027021","Block Group 1, Census Tract 1027.02, Salt Lake County, Utah"
"2011","415","1183","367","695","201","0","12","61","99","356","284","0","12","0","12","71","90","0","12","71","90","828","407","177","146","0","12","0","12","0","12","0","12","558","368","93","106","70","101","23","42","1500000US490351027022","Block Group 2, Census Tract 1027.02, Salt Lake County, Utah"
"1843","782","739","493","683","495","0","12","16","28","30","49","0","12","0","12","10","17","0","12","10","17","1104","626","251","249","0","12","0","12","0","12","0","12","797","536","56","95","56","95","0","12","1500000US490351028011","Block Group 1, Census Tract 1028.01, Salt Lake County, Utah"
"1825","466","866","325","778","317","29","44","0","12","47","88","0","12","0","12","12","23","0","12","12","23","959","406","307","227","0","12","0","12","0","12","0","12","652","400","0","12","0","12","0","12","1500000US490351028012","Block Group 2, Census Tract 1028.01, Salt Lake County, Utah"
"2956","897","1000","301","721","250","98","94","0","12","0","12","97","60","11","18","73","106","11","18","62","104","1956","934","258","182","0","12","0","12","0","12","0","12","1281","757","417","518","417","518","0","12","1500000US490351028013","Block Group 3, Census Tract 1028.01, Salt Lake County, Utah"
"1843","634","949","511","347","181","113","178","143","220","26","42","299","379","0","12","21","32","21","32","0","12","894","457","224","231","0","12","0","12","0","12","0","12","670","440","0","12","0","12","0","12","1500000US490351028021","Block Group 1, Census Tract 1028.02, Salt Lake County, Utah"
"1388","413","828","273","559","195","51","46","8","14","160","135","0","12","0","12","50","58","0","12","50","58","560","389","260","331","58","87","0","12","10","16","0","12","228","163","4","7","0","12","4","7","1500000US490351028022","Block Group 2, Census Tract 1028.02, Salt Lake County, Utah"
"2272","588","1253","480","540","168","202","226","336","401","11","18","164","178","0","12","0","12","0","12","0","12","1019","356","76","69","0","12","0","12","0","12","0","12","911","359","32","42","32","42","0","12","1500000US490351028023","Block Group 3, Census Tract 1028.02, Salt Lake County, Utah"
"2025","820","1458","484","863","318","115","103","377","401","40","70","0","12","63","99","0","12","0","12","0","12","567","624","113","119","312","493","0","12","0","12","0","12","142","146","0","12","0","12","0","12","1500000US490351029001","Block Group 1, Census Tract 1029, Salt Lake County, Utah"
"1653","481","1178","410","843","327","19","33","0","12","134","186","53","73","0","12","129","138","0","12","129","138","475","350","277","218","0","12","0","12","0","12","0","12","198","271","0","12","0","12","0","12","1500000US490351029002","Block Group 2, Census Tract 1029, Salt Lake County, Utah"
"1535","402","1000","235","926","242","60","62","0","12","0","12","0","12","0","12","14","22","0","12","14","22","535","348","242","295","101","117","0","12","0","12","0","12","192","248","0","12","0","12","0","12","1500000US490351029003","Block Group 3, Census Tract 1029, Salt Lake County, Utah"
"2069","439","1674","346","1575","352","64","90","0","12","0","12","0","12","6","11","29","46","0","12","29","46","395","413","81","63","0","12","0","12","0","12","0","12","306","422","8","12","8","12","0","12","1500000US490351030001","Block Group 1, Census Tract 1030, Salt Lake County, Utah"
"1419","279","1004","228","827","169","98","79","0","12","0","12","0","12","0","12","79","89","0","12","79","89","415","194","237","175","0","12","0","12","9","17","0","12","22","27","147","98","70","82","77","68","1500000US490351030002","Block Group 2, Census Tract 1030, Salt Lake County, Utah"
"1423","251","1298","232","1169","230","0","12","0","12","54","52","19","30","0","12","56","45","0","12","56","45","125","137","20","24","0","12","1","3","0","12","0","12","50","59","54","84","54","84","0","12","1500000US490351031001","Block Group 1, Census Tract 1031, Salt Lake County, Utah"
"1466","298","983","231","901","228","15","24","0","12","38","33","11","18","0","12","18","22","0","12","18","22","483","333","53","51","0","12","0","12","0","12","0","12","430","327","0","12","0","12","0","12","1500000US490351031002","Block Group 2, Census Tract 1031, Salt Lake County, Utah"
"1451","654","925","222","843","215","0","12","0","12","33","37","39","70","0","12","10","16","0","12","10","16","526","602","500","602","0","12","0","12","10","16","0","12","0","12","16","23","2","4","14","23","1500000US490351031003","Block Group 3, Census Tract 1031, Salt Lake County, Utah"
"1163","314","1091","299","1054","305","0","12","0","12","0","12","0","12","0","12","37","70","0","12","37","70","72","76","62","74","0","12","0","12","0","12","0","12","0","12","10","19","10","19","0","12","1500000US490351032001","Block Group 1, Census Tract 1032, Salt Lake County, Utah"
"1646","608","1442","556","1240","495","79","115","0","12","22","36","0","12","89","141","12","25","0","12","12","25","204","271","195","270","0","12","0","12","0","12","0","12","5","12","4","6","4","6","0","12","1500000US490351032002","Block Group 2, Census Tract 1032, Salt Lake County, Utah"
"1516","389","1127","252","970","246","65","101","70","84","22","35","0","12","0","12","0","12","0","12","0","12","389","254","200","135","142","214","0","12","0","12","0","12","47","62","0","12","0","12","0","12","1500000US490351032003","Block Group 3, Census Tract 1032, Salt Lake County, Utah"
"1500","330","1352","328","953","245","189","182","24","41","92","58","0","12","3","8","91","134","0","12","91","134","148","126","121","122","0","12","0","12","0","12","0","12","24","24","3","7","3","7","0","12","1500000US490351033001","Block Group 1, Census Tract 1033, Salt Lake County, Utah"
"1339","347","1237","279","1110","289","0","12","55","85","28","42","0","12","0","12","44","57","0","12","44","57","102","135","18","27","0","12","0","12","0","12","0","12","84","133","0","12","0","12","0","12","1500000US490351033002","Block Group 2, Census Tract 1033, Salt Lake County, Utah"
"1723","512","1396","406","1269","391","0","12","0","12","17","29","0","12","0","12","110","147","0","12","110","147","327","219","270","210","0","12","0","12","0","12","0","12","57","66","0","12","0","12","0","12","1500000US490351033003","Block Group 3, Census Tract 1033, Salt Lake County, Utah"
"1452","270","1334","267","1028","219","10","24","115","180","124","83","31","51","0","12","26","37","0","12","26","37","118","73","66","67","12","19","16","24","0","12","0","12","24","25","0","12","0","12","0","12","1500000US490351034001","Block Group 1, Census Tract 1034, Salt Lake County, Utah"
"1718","427","1682","424","1609","421","0","12","0","12","48","49","0","12","0","12","25","35","0","12","25","35","36","28","27","24","0","12","0","12","0","12","0","12","9","14","0","12","0","12","0","12","1500000US490351034002","Block Group 2, Census Tract 1034, Salt Lake County, Utah"
"1322","289","1291","272","1262","268","7","11","0","12","9","14","0","12","0","12","13","14","0","12","13","14","31","37","0","12","0","12","0","12","0","12","0","12","9","15","22","35","22","35","0","12","1500000US490351034003","Block Group 3, Census Tract 1034, Salt Lake County, Utah"
"1020","256","904","257","837","257","0","12","0","12","0","12","0","12","0","12","67","53","44","48","23","25","116","97","116","97","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351035001","Block Group 1, Census Tract 1035, Salt Lake County, Utah"
"1349","257","1220","251","1187","248","3","6","0","12","0","12","0","12","0","12","30","40","0","12","30","40","129","81","129","81","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351035002","Block Group 2, Census Tract 1035, Salt Lake County, Utah"
"1465","264","1415","264","1288","252","13","21","0","12","40","51","2","4","0","12","72","69","0","12","72","69","50","56","42","55","0","12","0","12","0","12","0","12","8","13","0","12","0","12","0","12","1500000US490351035003","Block Group 3, Census Tract 1035, Salt Lake County, Utah"
"1336","258","1209","227","1134","220","0","12","0","12","45","31","0","12","0","12","30","29","0","12","30","29","127","153","127","153","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351036001","Block Group 1, Census Tract 1036, Salt Lake County, Utah"
"1564","403","1536","406","1442","395","0","12","0","12","25","18","0","12","20","32","49","67","0","12","49","67","28","28","28","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351036002","Block Group 2, Census Tract 1036, Salt Lake County, Utah"
"1487","548","1417","530","1048","278","136","204","60","89","19","22","0","12","0","12","154","200","133","208","21","28","70","49","37","34","0","12","0","12","0","12","0","12","0","12","33","36","33","36","0","12","1500000US490351037001","Block Group 1, Census Tract 1037, Salt Lake County, Utah"
"1227","209","1109","204","939","192","11","17","0","12","37","26","0","12","21","32","101","62","0","12","101","62","118","94","118","94","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351037002","Block Group 2, Census Tract 1037, Salt Lake County, Utah"
"1301","238","1270","230","1160","236","0","12","0","12","71","72","0","12","0","12","39","48","0","12","39","48","31","40","31","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351038001","Block Group 1, Census Tract 1038, Salt Lake County, Utah"
"1124","228","1003","204","924","180","29","47","0","12","18","15","0","12","0","12","32","53","0","12","32","53","121","93","58","67","0","12","11","18","0","12","0","12","28","42","24","39","24","39","0","12","1500000US490351038002","Block Group 2, Census Tract 1038, Salt Lake County, Utah"
"1377","295","1263","289","1148","274","0","12","0","12","84","69","0","12","12","17","19","23","0","12","19","23","114","71","77","56","0","12","0","12","21","33","0","12","16","24","0","12","0","12","0","12","1500000US490351039001","Block Group 1, Census Tract 1039, Salt Lake County, Utah"
"1450","328","1398","326","1361","321","28","40","0","12","0","12","0","12","0","12","9","14","0","12","9","14","52","53","34","44","0","12","0","12","0","12","0","12","18","28","0","12","0","12","0","12","1500000US490351039002","Block Group 2, Census Tract 1039, Salt Lake County, Utah"
"1357","246","1357","246","1177","226","39","58","0","12","54","55","0","12","0","12","87","77","10","16","77","75","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351039003","Block Group 3, Census Tract 1039, Salt Lake County, Utah"
"1273","285","993","190","845","154","0","12","0","12","88","99","0","12","29","42","31","47","31","47","0","12","280","216","212","189","34","48","0","12","0","12","0","12","34","47","0","12","0","12","0","12","1500000US490351040001","Block Group 1, Census Tract 1040, Salt Lake County, Utah"
"1470","864","1448","863","1351","867","32","57","0","12","65","67","0","12","0","12","0","12","0","12","0","12","22","32","22","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351040002","Block Group 2, Census Tract 1040, Salt Lake County, Utah"
"760","238","760","238","759","238","0","12","0","12","1","2","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351040003","Block Group 3, Census Tract 1040, Salt Lake County, Utah"
"1668","298","1635","304","1569","321","0","12","0","12","66","95","0","12","0","12","0","12","0","12","0","12","33","48","33","48","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351041001","Block Group 1, Census Tract 1041, Salt Lake County, Utah"
"1335","250","1270","248","1120","210","0","12","0","12","70","82","0","12","0","12","80","77","22","24","58","73","65","96","0","12","0","12","0","12","0","12","0","12","65","96","0","12","0","12","0","12","1500000US490351041002","Block Group 2, Census Tract 1041, Salt Lake County, Utah"
"1929","384","1813","387","1608","372","0","12","0","12","205","142","0","12","0","12","0","12","0","12","0","12","116","109","104","107","0","12","0","12","12","18","0","12","0","12","0","12","0","12","0","12","1500000US490351042001","Block Group 1, Census Tract 1042, Salt Lake County, Utah"
"787","398","787","398","770","400","1","4","0","12","0","12","0","12","0","12","16","31","0","12","16","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351042002","Block Group 2, Census Tract 1042, Salt Lake County, Utah"
"739","222","739","222","739","222","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351042003","Block Group 3, Census Tract 1042, Salt Lake County, Utah"
"1341","375","1341","375","1056","328","47","74","0","12","195","205","11","18","0","12","32","54","0","12","32","54","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351042004","Block Group 4, Census Tract 1042, Salt Lake County, Utah"
"782","238","782","238","711","239","0","12","0","12","38","37","0","12","0","12","33","39","0","12","33","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351042005","Block Group 5, Census Tract 1042, Salt Lake County, Utah"
"1185","460","986","399","967","397","0","12","0","12","0","12","19","32","0","12","0","12","0","12","0","12","199","298","0","12","0","12","0","12","0","12","0","12","199","298","0","12","0","12","0","12","1500000US490351042006","Block Group 6, Census Tract 1042, Salt Lake County, Utah"
"1138","244","1037","230","935","227","16","22","18","23","35","34","0","12","0","12","33","24","9","14","24","19","101","90","28","29","0","12","0","12","0","12","0","12","0","12","73","88","62","87","11","18","1500000US490351043001","Block Group 1, Census Tract 1043, Salt Lake County, Utah"
"1729","466","1543","463","1382","445","7","10","0","12","120","88","0","12","0","12","34","37","0","12","34","37","186","137","132","126","0","12","0","12","0","12","0","12","46","60","8","12","0","12","8","12","1500000US490351043002","Block Group 2, Census Tract 1043, Salt Lake County, Utah"
"1276","275","1265","275","1201","279","13","16","0","12","14","12","0","12","0","12","37","36","0","12","37","36","11","17","11","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351044001","Block Group 1, Census Tract 1044, Salt Lake County, Utah"
"732","166","732","166","732","166","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351044002","Block Group 2, Census Tract 1044, Salt Lake County, Utah"
"2062","530","1829","478","1553","430","0","12","14","22","98","83","0","12","0","12","164","109","0","12","164","109","233","244","28","33","0","12","151","245","0","12","0","12","54","60","0","12","0","12","0","12","1500000US490351047001","Block Group 1, Census Tract 1047, Salt Lake County, Utah"
"1958","347","1923","349","1714","345","26","43","0","12","75","85","40","67","0","12","68","91","0","12","68","91","35","55","35","55","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351047002","Block Group 2, Census Tract 1047, Salt Lake County, Utah"
"1319","312","1122","256","1014","248","17","26","24","38","0","12","0","12","0","12","67","61","0","12","67","61","197","204","57","72","0","12","18","29","0","12","0","12","122","185","0","12","0","12","0","12","1500000US490351047003","Block Group 3, Census Tract 1047, Salt Lake County, Utah"
"1217","519","1217","519","1202","516","0","12","15","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351048001","Block Group 1, Census Tract 1048, Salt Lake County, Utah"
"2234","549","2019","580","2019","580","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","215","143","215","143","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351048002","Block Group 2, Census Tract 1048, Salt Lake County, Utah"
"831","255","813","255","797","255","0","12","16","26","0","12","0","12","0","12","0","12","0","12","0","12","18","29","18","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351048003","Block Group 3, Census Tract 1048, Salt Lake County, Utah"
"1247","320","1088","307","950","302","0","12","0","12","59","54","0","12","0","12","79","76","13","22","66","72","159","143","155","146","0","12","0","12","0","12","0","12","0","12","4","7","0","12","4","7","1500000US490351048004","Block Group 4, Census Tract 1048, Salt Lake County, Utah"
"1068","524","1009","521","979","518","0","12","0","12","30","32","0","12","0","12","0","12","0","12","0","12","59","50","49","38","0","12","0","12","0","12","0","12","0","12","10","17","0","12","10","17","1500000US490351049001","Block Group 1, Census Tract 1049, Salt Lake County, Utah"
"1153","222","984","226","956","227","0","12","0","12","28","21","0","12","0","12","0","12","0","12","0","12","169","75","76","70","0","12","0","12","0","12","0","12","93","58","0","12","0","12","0","12","1500000US490351049002","Block Group 2, Census Tract 1049, Salt Lake County, Utah"
"868","200","571","122","530","131","0","12","0","12","32","47","0","12","0","12","9","15","0","12","9","15","297","187","239","171","0","12","0","12","0","12","0","12","58","55","0","12","0","12","0","12","1500000US490351049003","Block Group 3, Census Tract 1049, Salt Lake County, Utah"
"1598","279","1482","276","1373","263","44","55","0","12","65","71","0","12","0","12","0","12","0","12","0","12","116","67","61","49","21","25","0","12","0","12","0","12","23","34","11","16","10","16","1","3","1500000US490351101031","Block Group 1, Census Tract 1101.03, Salt Lake County, Utah"
"962","161","945","166","861","170","0","12","0","12","49","46","0","12","0","12","35","37","0","12","35","37","17","18","17","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351101032","Block Group 2, Census Tract 1101.03, Salt Lake County, Utah"
"742","176","700","173","659","183","0","12","0","12","41","52","0","12","0","12","0","12","0","12","0","12","42","39","33","37","0","12","0","12","0","12","0","12","0","12","9","13","0","12","9","13","1500000US490351101033","Block Group 3, Census Tract 1101.03, Salt Lake County, Utah"
"2026","432","1932","426","1707","426","0","12","0","12","130","71","0","12","0","12","95","67","0","12","95","67","94","77","86","76","0","12","0","12","0","12","0","12","8","14","0","12","0","12","0","12","1500000US490351101041","Block Group 1, Census Tract 1101.04, Salt Lake County, Utah"
"1679","587","1669","589","1505","481","0","12","2","5","8","13","0","12","0","12","154","207","143","205","11","18","10","15","10","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351101042","Block Group 2, Census Tract 1101.04, Salt Lake County, Utah"
"1174","269","1153","268","985","238","0","12","0","12","11","16","0","12","0","12","157","139","0","12","157","139","21","23","21","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351101043","Block Group 3, Census Tract 1101.04, Salt Lake County, Utah"
"989","256","944","251","847","244","0","12","14","22","59","46","0","12","0","12","24","39","0","12","24","39","45","43","34","43","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","1500000US490351101044","Block Group 4, Census Tract 1101.04, Salt Lake County, Utah"
"1085","362","1069","357","1057","355","0","12","0","12","12","16","0","12","0","12","0","12","0","12","0","12","16","21","0","12","0","12","0","12","0","12","0","12","0","12","16","21","0","12","16","21","1500000US490351101051","Block Group 1, Census Tract 1101.05, Salt Lake County, Utah"
"924","188","924","188","882","193","0","12","0","12","12","19","0","12","0","12","30","39","0","12","30","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351101052","Block Group 2, Census Tract 1101.05, Salt Lake County, Utah"
"1151","283","1129","304","973","219","68","120","76","149","1","3","0","12","0","12","11","17","0","12","11","17","22","43","0","12","0","12","0","12","0","12","0","12","1","4","21","43","21","43","0","12","1500000US490351101061","Block Group 1, Census Tract 1101.06, Salt Lake County, Utah"
"619","189","582","185","570","183","0","12","0","12","4","9","0","12","0","12","8","18","0","12","8","18","37","41","37","41","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351101062","Block Group 2, Census Tract 1101.06, Salt Lake County, Utah"
"423","152","390","142","358","143","0","12","0","12","32","33","0","12","0","12","0","12","0","12","0","12","33","36","0","12","0","12","0","12","0","12","0","12","14","22","19","29","19","29","0","12","1500000US490351101063","Block Group 3, Census Tract 1101.06, Salt Lake County, Utah"
"1346","351","1146","320","1117","318","20","32","0","12","0","12","0","12","0","12","9","14","0","12","9","14","200","219","200","219","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351102001","Block Group 1, Census Tract 1102, Salt Lake County, Utah"
"1106","276","1077","283","934","229","0","12","0","12","30","31","0","12","0","12","113","161","0","12","113","161","29","49","0","12","0","12","0","12","0","12","0","12","29","49","0","12","0","12","0","12","1500000US490351102002","Block Group 2, Census Tract 1102, Salt Lake County, Utah"
"626","215","600","212","579","210","0","12","0","12","6","10","0","12","0","12","15","26","0","12","15","26","26","34","26","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351102003","Block Group 3, Census Tract 1102, Salt Lake County, Utah"
"1385","284","1321","295","1165","255","0","12","102","127","0","12","0","12","0","12","54","64","0","12","54","64","64","62","8","13","0","12","0","12","0","12","0","12","33","31","23","31","23","31","0","12","1500000US490351102004","Block Group 4, Census Tract 1102, Salt Lake County, Utah"
"782","177","731","169","689","173","0","12","7","13","21","27","0","12","0","12","14","15","0","12","14","15","51","44","43","41","0","12","0","12","0","12","0","12","8","13","0","12","0","12","0","12","1500000US490351102005","Block Group 5, Census Tract 1102, Salt Lake County, Utah"
"997","359","773","319","715","336","0","12","0","12","26","36","0","12","0","12","32","54","0","12","32","54","224","178","224","178","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351103001","Block Group 1, Census Tract 1103, Salt Lake County, Utah"
"913","282","823","315","639","237","165","212","0","12","0","12","0","12","0","12","19","32","0","12","19","32","90","136","0","12","0","12","0","12","0","12","0","12","89","135","1","3","1","3","0","12","1500000US490351103002","Block Group 2, Census Tract 1103, Salt Lake County, Utah"
"1243","416","993","356","876","328","0","12","0","12","61","75","0","12","0","12","56","57","0","12","56","57","250","261","202","259","0","12","0","12","0","12","0","12","48","74","0","12","0","12","0","12","1500000US490351103003","Block Group 3, Census Tract 1103, Salt Lake County, Utah"
"819","274","819","274","819","274","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351103004","Block Group 4, Census Tract 1103, Salt Lake County, Utah"
"1003","365","1003","365","988","370","0","12","0","12","15","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351103005","Block Group 5, Census Tract 1103, Salt Lake County, Utah"
"1108","318","1108","318","1055","320","0","12","0","12","0","12","0","12","53","83","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351103006","Block Group 6, Census Tract 1103, Salt Lake County, Utah"
"1161","257","1150","257","1111","252","18","35","0","12","21","26","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","1500000US490351104011","Block Group 1, Census Tract 1104.01, Salt Lake County, Utah"
"468","215","396","176","277","119","17","27","0","12","102","145","0","12","0","12","0","12","0","12","0","12","72","115","72","115","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351104012","Block Group 2, Census Tract 1104.01, Salt Lake County, Utah"
"1299","267","1139","275","957","260","57","87","0","12","112","104","0","12","0","12","13","21","0","12","13","21","160","177","24","36","0","12","0","12","0","12","0","12","136","145","0","12","0","12","0","12","1500000US490351104013","Block Group 3, Census Tract 1104.01, Salt Lake County, Utah"
"1448","343","1413","342","1331","334","0","12","0","12","24","27","0","12","0","12","58","59","0","12","58","59","35","37","15","23","0","12","0","12","0","12","0","12","0","12","20","31","0","12","20","31","1500000US490351104021","Block Group 1, Census Tract 1104.02, Salt Lake County, Utah"
"1689","866","1632","868","1621","867","0","12","0","12","11","17","0","12","0","12","0","12","0","12","0","12","57","43","33","36","0","12","0","12","0","12","0","12","0","12","24","39","24","39","0","12","1500000US490351104022","Block Group 2, Census Tract 1104.02, Salt Lake County, Utah"
"1002","264","885","245","816","251","0","12","0","12","69","78","0","12","0","12","0","12","0","12","0","12","117","123","117","123","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351104023","Block Group 3, Census Tract 1104.02, Salt Lake County, Utah"
"1724","460","1638","462","1597","470","6","12","0","12","11","17","0","12","0","12","24","32","0","12","24","32","86","143","86","143","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351105001","Block Group 1, Census Tract 1105, Salt Lake County, Utah"
"2281","646","2265","655","2025","647","0","12","0","12","195","134","0","12","0","12","45","75","0","12","45","75","16","26","16","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351105002","Block Group 2, Census Tract 1105, Salt Lake County, Utah"
"1257","489","1257","489","1257","489","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351105003","Block Group 3, Census Tract 1105, Salt Lake County, Utah"
"951","339","951","339","905","310","0","12","0","12","46","109","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351105004","Block Group 4, Census Tract 1105, Salt Lake County, Utah"
"1172","348","1115","347","1017","335","43","65","0","12","0","12","0","12","0","12","55","85","0","12","55","85","57","56","7","13","0","12","0","12","0","12","0","12","30","49","20","33","20","33","0","12","1500000US490351106001","Block Group 1, Census Tract 1106, Salt Lake County, Utah"
"1253","256","1238","256","1107","250","0","12","10","18","45","75","35","50","0","12","41","54","0","12","41","54","15","25","15","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351106002","Block Group 2, Census Tract 1106, Salt Lake County, Utah"
"1582","435","1312","393","1210","389","0","12","0","12","53","54","0","12","0","12","49","61","32","53","17","26","270","210","59","66","0","12","0","12","0","12","0","12","12","19","199","203","199","203","0","12","1500000US490351106003","Block Group 3, Census Tract 1106, Salt Lake County, Utah"
"764","275","737","266","737","266","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","27","44","27","44","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351106004","Block Group 4, Census Tract 1106, Salt Lake County, Utah"
"923","262","923","262","897","270","0","12","0","12","0","12","0","12","26","44","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351106005","Block Group 5, Census Tract 1106, Salt Lake County, Utah"
