"B25044_001E","B25044_001M","B25044_002E","B25044_002M","B25044_003E","B25044_003M","B25044_004E","B25044_004M","B25044_005E","B25044_005M","B25044_006E","B25044_006M","B25044_007E","B25044_007M","B25044_008E","B25044_008M","B25044_009E","B25044_009M","B25044_010E","B25044_010M","B25044_011E","B25044_011M","B25044_012E","B25044_012M","B25044_013E","B25044_013M","B25044_014E","B25044_014M","B25044_015E","B25044_015M","GEO_ID","NAME"
"542","91","526","92","0","12","50","32","254","94","73","39","142","93","7","11","16","21","10","17","6","11","0","12","0","12","0","12","0","12","1500000US490111251032","Block Group 2, Census Tract 1251.03, Davis County, Utah"
"442","87","402","91","0","12","33","52","164","67","129","54","65","42","11","18","40","32","0","12","11","17","29","28","0","12","0","12","0","12","1500000US490111251033","Block Group 3, Census Tract 1251.03, Davis County, Utah"
"743","140","655","148","0","12","23","40","222","78","186","73","179","157","45","32","88","63","0","12","15","18","64","59","0","12","9","14","0","12","1500000US490111251041","Block Group 1, Census Tract 1251.04, Davis County, Utah"
"415","92","409","93","0","12","65","41","200","75","118","82","18","20","8","13","6","10","0","12","0","12","6","10","0","12","0","12","0","12","1500000US490111251042","Block Group 2, Census Tract 1251.04, Davis County, Utah"
"732","170","706","170","0","12","30","26","437","171","157","53","52","33","30","27","26","37","0","12","0","12","0","12","0","12","0","12","26","37","1500000US490111251043","Block Group 3, Census Tract 1251.04, Davis County, Utah"
"407","106","6","9","0","12","0","12","6","9","0","12","0","12","0","12","401","105","0","12","121","54","238","103","42","32","0","12","0","12","1500000US490111252011","Block Group 1, Census Tract 1252.01, Davis County, Utah"
"613","82","26","27","0","12","0","12","9","1","0","12","17","27","0","12","587","85","0","12","109","63","383","87","95","44","0","12","0","12","1500000US490111252012","Block Group 2, Census Tract 1252.01, Davis County, Utah"
"421","114","265","98","0","12","25","26","107","62","108","71","8","13","17","26","156","89","52","47","43","43","35","43","26","33","0","12","0","12","1500000US490111253011","Block Group 1, Census Tract 1253.01, Davis County, Utah"
"529","109","354","90","0","12","126","65","103","61","96","65","29","45","0","12","175","86","12","18","82","75","60","56","21","23","0","12","0","12","1500000US490111253012","Block Group 2, Census Tract 1253.01, Davis County, Utah"
"321","87","229","83","0","12","72","31","57","41","26","21","62","57","12","19","92","59","8","12","61","57","23","25","0","12","0","12","0","12","1500000US490111253013","Block Group 3, Census Tract 1253.01, Davis County, Utah"
"313","71","254","66","0","12","46","37","79","45","95","49","25","24","9","15","59","43","0","12","18","29","0","12","12","18","29","46","0","12","1500000US490111253014","Block Group 4, Census Tract 1253.01, Davis County, Utah"
"360","81","308","79","6","12","40","33","192","65","31","25","39","39","0","12","52","44","0","12","5","9","11","17","27","37","9","14","0","12","1500000US490111253041","Block Group 1, Census Tract 1253.04, Davis County, Utah"
"810","137","663","121","0","12","99","69","321","85","194","86","42","33","7","11","147","86","11","20","70","68","41","36","12","19","13","21","0","12","1500000US490111253042","Block Group 2, Census Tract 1253.04, Davis County, Utah"
"311","104","268","79","0","12","29","37","136","64","52","35","30","41","21","26","43","54","0","12","35","52","8","13","0","12","0","12","0","12","1500000US490111253043","Block Group 3, Census Tract 1253.04, Davis County, Utah"
"429","78","399","80","0","12","61","36","151","53","146","54","41","36","0","12","30","37","0","12","0","12","0","12","0","12","30","37","0","12","1500000US490111253051","Block Group 1, Census Tract 1253.05, Davis County, Utah"
"686","153","504","141","7","10","117","59","119","56","226","145","23","15","12","20","182","83","0","12","76","68","87","58","11","17","8","12","0","12","1500000US490111253052","Block Group 2, Census Tract 1253.05, Davis County, Utah"
"282","93","235","94","0","12","43","72","108","61","30","30","46","29","8","13","47","41","0","12","0","12","38","38","9","14","0","12","0","12","1500000US490111253053","Block Group 3, Census Tract 1253.05, Davis County, Utah"
"516","86","489","80","0","12","34","29","290","72","69","48","74","42","22","21","27","40","0","12","0","12","27","40","0","12","0","12","0","12","1500000US490111253054","Block Group 4, Census Tract 1253.05, Davis County, Utah"
"517","128","437","124","0","12","50","36","167","112","164","91","19","25","37","58","80","56","0","12","13","19","67","58","0","12","0","12","0","12","1500000US490111253061","Block Group 1, Census Tract 1253.06, Davis County, Utah"
"702","240","700","241","0","12","79","64","281","88","80","62","51","49","209","260","2","5","0","12","0","12","2","5","0","12","0","12","0","12","1500000US490111253062","Block Group 2, Census Tract 1253.06, Davis County, Utah"
"631","154","619","154","0","12","81","82","303","150","139","76","96","61","0","12","12","20","0","12","0","12","0","12","12","20","0","12","0","12","1500000US490111253071","Block Group 1, Census Tract 1253.07, Davis County, Utah"
"541","106","474","120","0","12","16","26","116","62","168","96","68","82","106","72","67","74","0","12","37","57","30","45","0","12","0","12","0","12","1500000US490111253072","Block Group 2, Census Tract 1253.07, Davis County, Utah"
"349","90","319","94","0","12","57","53","213","84","31","39","18","27","0","12","30","45","0","12","30","45","0","12","0","12","0","12","0","12","1500000US490111253073","Block Group 3, Census Tract 1253.07, Davis County, Utah"
"427","102","427","102","14","24","8","14","105","49","204","86","73","49","23","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111253074","Block Group 4, Census Tract 1253.07, Davis County, Utah"
"330","119","274","116","0","12","0","12","101","59","67","46","16","25","90","112","56","57","0","12","0","12","0","12","8","13","48","55","0","12","1500000US490111254071","Block Group 1, Census Tract 1254.07, Davis County, Utah"
"501","104","461","105","0","12","0","12","259","107","34","41","145","75","23","35","40","56","0","12","0","12","40","56","0","12","0","12","0","12","1500000US490111254072","Block Group 2, Census Tract 1254.07, Davis County, Utah"
"723","133","666","124","0","12","57","45","356","114","126","76","119","77","8","14","57","67","0","12","0","12","18","30","0","12","39","60","0","12","1500000US490111254073","Block Group 3, Census Tract 1254.07, Davis County, Utah"
"632","209","566","220","0","12","103","84","109","64","119","73","202","217","33","36","66","55","0","12","0","12","36","35","30","42","0","12","0","12","1500000US490111254074","Block Group 4, Census Tract 1254.07, Davis County, Utah"
"417","122","371","122","0","12","14","22","159","58","77","52","101","106","20","31","46","54","0","12","0","12","0","12","32","50","14","20","0","12","1500000US490111254081","Block Group 1, Census Tract 1254.08, Davis County, Utah"
"676","182","644","185","0","12","17","28","274","147","268","186","24","26","61","68","32","38","0","12","0","12","0","12","17","28","15","24","0","12","1500000US490111254082","Block Group 2, Census Tract 1254.08, Davis County, Utah"
"596","133","596","133","0","12","98","62","284","127","148","98","40","42","26","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254083","Block Group 3, Census Tract 1254.08, Davis County, Utah"
"628","97","570","112","20","35","71","49","277","92","159","83","12","19","31","49","58","59","0","12","43","53","0","12","15","24","0","12","0","12","1500000US490111254091","Block Group 1, Census Tract 1254.09, Davis County, Utah"
"705","158","585","138","0","12","60","49","231","112","139","64","109","83","46","68","120","100","0","12","38","57","82","79","0","12","0","12","0","12","1500000US490111254092","Block Group 2, Census Tract 1254.09, Davis County, Utah"
"448","95","430","96","0","12","30","33","222","95","92","60","45","39","41","46","18","29","0","12","0","12","18","29","0","12","0","12","0","12","1500000US490111254101","Block Group 1, Census Tract 1254.10, Davis County, Utah"
"604","107","568","114","0","12","19","30","155","83","203","103","125","88","66","40","36","41","0","12","26","36","0","12","10","19","0","12","0","12","1500000US490111254102","Block Group 2, Census Tract 1254.10, Davis County, Utah"
"978","258","795","226","15","24","99","65","470","217","89","69","65","49","57","55","183","262","0","12","0","12","0","12","0","12","183","262","0","12","1500000US490111254111","Block Group 1, Census Tract 1254.11, Davis County, Utah"
"761","258","663","269","16","24","10","18","296","151","301","246","13","21","27","38","98","66","0","12","0","12","83","57","15","25","0","12","0","12","1500000US490111254112","Block Group 2, Census Tract 1254.11, Davis County, Utah"
"300","83","240","74","0","12","36","45","172","55","32","39","0","12","0","12","60","54","0","12","0","12","60","54","0","12","0","12","0","12","1500000US490111254121","Block Group 1, Census Tract 1254.12, Davis County, Utah"
"442","81","407","81","0","12","69","58","188","79","100","72","31","46","19","33","35","46","15","29","0","12","0","12","20","32","0","12","0","12","1500000US490111254122","Block Group 2, Census Tract 1254.12, Davis County, Utah"
"698","114","667","117","23","28","111","69","204","86","224","99","52","40","53","47","31","36","0","12","0","12","0","12","31","36","0","12","0","12","1500000US490111254131","Block Group 1, Census Tract 1254.13, Davis County, Utah"
"748","127","748","127","0","12","12","22","332","125","297","93","63","52","44","42","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254132","Block Group 2, Census Tract 1254.13, Davis County, Utah"
"589","89","559","87","0","12","68","90","279","91","134","81","21","34","57","74","30","48","0","12","0","12","0","12","0","12","30","48","0","12","1500000US490111254141","Block Group 1, Census Tract 1254.14, Davis County, Utah"
"297","87","297","87","35","53","36","56","148","63","65","36","13","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254142","Block Group 2, Census Tract 1254.14, Davis County, Utah"
"307","94","203","81","0","12","14","20","127","77","50","38","0","12","12","20","104","76","12","20","44","72","34","41","14","24","0","12","0","12","1500000US490111254143","Block Group 3, Census Tract 1254.14, Davis County, Utah"
"745","151","638","127","36","54","54","45","150","85","178","77","176","97","44","48","107","90","0","12","0","12","107","90","0","12","0","12","0","12","1500000US490111254151","Block Group 1, Census Tract 1254.15, Davis County, Utah"
"701","198","444","176","27","28","0","12","167","148","134","75","60","43","56","78","257","129","13","20","127","121","117","66","0","12","0","12","0","12","1500000US490111254152","Block Group 2, Census Tract 1254.15, Davis County, Utah"
"1127","330","1014","339","0","12","466","322","283","88","175","82","52","37","38","42","113","72","0","12","27","36","17","20","24","28","45","49","0","12","1500000US490111255011","Block Group 1, Census Tract 1255.01, Davis County, Utah"
"463","88","359","86","8","13","20","19","194","68","74","46","43","43","20","20","104","49","0","12","67","44","8","13","0","12","29","34","0","12","1500000US490111255012","Block Group 2, Census Tract 1255.01, Davis County, Utah"
"459","144","448","143","0","12","33","31","190","78","181","143","34","37","10","16","11","17","0","12","0","12","0","12","11","17","0","12","0","12","1500000US490111255013","Block Group 3, Census Tract 1255.01, Davis County, Utah"
"532","148","491","150","20","22","85","61","158","63","139","103","73","63","16","19","41","39","9","14","9","15","23","31","0","12","0","12","0","12","1500000US490111255021","Block Group 1, Census Tract 1255.02, Davis County, Utah"
"421","92","350","91","0","12","102","66","153","73","49","31","38","34","8","13","71","61","0","12","59","58","12","20","0","12","0","12","0","12","1500000US490111255022","Block Group 2, Census Tract 1255.02, Davis County, Utah"
"648","91","537","87","7","12","91","65","126","61","152","67","57","44","104","66","111","61","0","12","37","41","42","36","0","12","32","28","0","12","1500000US490111255023","Block Group 3, Census Tract 1255.02, Davis County, Utah"
"657","86","641","87","20","21","67","43","246","87","183","73","96","43","29","20","16","17","0","12","0","12","16","17","0","12","0","12","0","12","1500000US490111255031","Block Group 1, Census Tract 1255.03, Davis County, Utah"
"873","245","775","246","0","12","57","37","309","91","288","243","83","44","38","36","98","62","0","12","22","33","67","54","0","12","9","13","0","12","1500000US490111255032","Block Group 2, Census Tract 1255.03, Davis County, Utah"
"74","23","37","16","0","12","3","6","27","16","3","6","0","12","4","6","37","22","0","12","16","14","21","18","0","12","0","12","0","12","1500000US490111256001","Block Group 1, Census Tract 1256, Davis County, Utah"
"558","138","329","126","0","12","61","42","177","113","58","45","24","37","9","13","229","94","55","56","104","60","70","64","0","12","0","12","0","12","1500000US490111257011","Block Group 1, Census Tract 1257.01, Davis County, Utah"
"490","126","3","8","0","12","0","12","0","12","0","12","3","8","0","12","487","128","29","32","280","108","178","103","0","12","0","12","0","12","1500000US490111257012","Block Group 2, Census Tract 1257.01, Davis County, Utah"
"636","152","199","74","10","14","76","45","51","43","31","29","31","44","0","12","437","140","14","22","231","124","192","87","0","12","0","12","0","12","1500000US490111257013","Block Group 3, Census Tract 1257.01, Davis County, Utah"
"255","73","159","52","9","13","0","12","69","46","26","24","40","31","15","24","96","62","0","12","52","45","21","32","23","30","0","12","0","12","1500000US490111257021","Block Group 1, Census Tract 1257.02, Davis County, Utah"
"724","202","341","159","10","15","142","142","116","70","41","30","23","25","9","14","383","157","99","56","181","138","87","69","16","26","0","12","0","12","1500000US490111257022","Block Group 2, Census Tract 1257.02, Davis County, Utah"
"461","146","404","143","27","30","58","42","218","129","84","76","9","16","8","13","57","41","13","20","7","11","16","27","21","24","0","12","0","12","1500000US490111257023","Block Group 3, Census Tract 1257.02, Davis County, Utah"
"368","164","334","161","0","12","43","64","54","35","221","146","4","13","12","20","34","37","0","12","19","29","15","23","0","12","0","12","0","12","1500000US490111258011","Block Group 1, Census Tract 1258.01, Davis County, Utah"
"477","158","477","158","0","12","114","83","280","149","56","45","18","28","9","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111258012","Block Group 2, Census Tract 1258.01, Davis County, Utah"
"789","207","245","86","0","12","16","24","144","79","37","36","32","35","16","24","544","198","20","31","290","195","188","81","0","12","46","65","0","12","1500000US490111258013","Block Group 3, Census Tract 1258.01, Davis County, Utah"
"677","156","153","94","0","12","85","75","68","87","0","12","0","12","0","12","524","146","0","12","329","142","105","60","90","65","0","12","0","12","1500000US490111258014","Block Group 4, Census Tract 1258.01, Davis County, Utah"
"474","160","176","82","0","12","12","19","111","58","53","74","0","12","0","12","298","130","81","83","41","36","165","111","0","12","11","19","0","12","1500000US490111258015","Block Group 5, Census Tract 1258.01, Davis County, Utah"
"671","112","481","96","0","12","31","27","204","73","181","90","47","30","18","21","190","56","87","41","0","12","85","57","0","12","0","12","18","19","1500000US490111258041","Block Group 1, Census Tract 1258.04, Davis County, Utah"
"224","58","192","53","0","12","8","13","79","58","64","27","25","18","16","13","32","24","0","12","0","12","22","23","0","12","0","12","10","15","1500000US490111258042","Block Group 2, Census Tract 1258.04, Davis County, Utah"
"579","94","487","83","0","12","5","8","240","65","146","67","60","32","36","24","92","64","0","12","28","39","10","15","33","41","21","32","0","12","1500000US490111258043","Block Group 3, Census Tract 1258.04, Davis County, Utah"
"373","96","349","97","0","12","73","47","114","51","109","66","53","72","0","12","24","23","0","12","15","18","0","12","9","14","0","12","0","12","1500000US490111258044","Block Group 4, Census Tract 1258.04, Davis County, Utah"
"405","129","183","103","13","24","65","76","61","44","33","53","11","20","0","12","222","106","13","22","136","95","73","79","0","12","0","12","0","12","1500000US490111258051","Block Group 1, Census Tract 1258.05, Davis County, Utah"
"777","178","541","148","10","17","40","39","247","123","153","84","27","29","64","64","236","135","0","12","46","70","106","103","40","45","44","63","0","12","1500000US490111258052","Block Group 2, Census Tract 1258.05, Davis County, Utah"
"326","132","309","127","0","12","11","19","182","84","51","50","0","12","65","97","17","30","0","12","0","12","0","12","0","12","0","12","17","30","1500000US490111258053","Block Group 3, Census Tract 1258.05, Davis County, Utah"
"472","127","218","94","0","12","17","32","134","79","49","61","18","29","0","12","254","116","18","33","74","56","111","77","51","62","0","12","0","12","1500000US490111258054","Block Group 4, Census Tract 1258.05, Davis County, Utah"
"744","156","344","121","0","12","104","98","187","88","53","41","0","12","0","12","400","103","0","12","191","90","176","92","33","42","0","12","0","12","1500000US490111258071","Block Group 1, Census Tract 1258.07, Davis County, Utah"
"431","127","267","97","0","12","135","72","116","73","16","20","0","12","0","12","164","88","0","12","38","44","65","73","61","39","0","12","0","12","1500000US490111258072","Block Group 2, Census Tract 1258.07, Davis County, Utah"
"574","154","81","76","0","12","0","12","53","75","0","12","28","13","0","12","493","153","0","12","307","132","147","122","39","38","0","12","0","12","1500000US490111258091","Block Group 1, Census Tract 1258.09, Davis County, Utah"
"469","145","195","96","0","12","67","79","128","96","0","12","0","12","0","12","274","123","59","89","47","47","149","97","19","33","0","12","0","12","1500000US490111258092","Block Group 2, Census Tract 1258.09, Davis County, Utah"
"679","122","597","133","46","62","216","114","232","96","85","73","18","28","0","12","82","67","0","12","56","54","26","39","0","12","0","12","0","12","1500000US490111258093","Block Group 3, Census Tract 1258.09, Davis County, Utah"
"450","117","0","12","0","12","0","12","0","12","0","12","0","12","0","12","450","117","28","35","246","127","98","79","78","73","0","12","0","12","1500000US490111258101","Block Group 1, Census Tract 1258.10, Davis County, Utah"
"609","135","201","69","0","12","15","28","116","58","70","51","0","12","0","12","408","127","0","12","155","82","193","126","26","39","34","37","0","12","1500000US490111258102","Block Group 2, Census Tract 1258.10, Davis County, Utah"
"647","260","632","261","0","12","15","24","400","267","133","100","84","80","0","12","15","24","0","12","15","24","0","12","0","12","0","12","0","12","1500000US490111259051","Block Group 1, Census Tract 1259.05, Davis County, Utah"
"549","211","302","111","15","25","29","33","45","47","166","104","35","37","12","19","247","178","0","12","33","36","214","188","0","12","0","12","0","12","1500000US490111259052","Block Group 2, Census Tract 1259.05, Davis County, Utah"
"477","118","318","98","0","12","75","59","124","51","66","62","53","54","0","12","159","75","12","19","147","73","0","12","0","12","0","12","0","12","1500000US490111259053","Block Group 3, Census Tract 1259.05, Davis County, Utah"
